2015.11.02 01:08:00	1.1029727362	1.1028000000	1.1029727362	1.1028425000
2015.11.02 01:09:00	1.1029076181	1.1028100000	1.1029076181	1.1028600000
2015.11.02 01:10:00	1.1028838091	1.1027500000	1.1028838091	1.1027950000
2015.11.02 01:11:00	1.1028394045	1.1027500000	1.1028394045	1.1027650000
2015.11.02 01:12:00	1.1028022023	1.1027500000	1.1028022023	1.1027650000
2015.11.02 01:13:00	1.1027836011	1.1026900000	1.1027836011	1.1027350000
2015.11.02 01:14:00	1.1028100000	1.1026600000	1.1027593006	1.1027175000
2015.11.02 01:15:00	1.1027384003	1.1025000000	1.1027384003	1.1025800000
2015.11.02 01:16:00	1.1026592001	1.1024000000	1.1026592001	1.1024425000
2015.11.02 01:17:00	1.1025508501	1.1022700000	1.1025508501	1.1023375000
2015.11.02 01:18:00	1.1024441750	1.1022000000	1.1024441750	1.1022450000
2015.11.02 01:19:00	1.1024800000	1.1022000000	1.1023445875	1.1023125000
2015.11.02 01:20:00	1.1023285438	1.1026700000	1.1023285438	1.1025225000
2015.11.02 01:21:00	1.1024255219	1.1026900000	1.1024255219	1.1026025000
2015.11.02 01:22:00	1.1025000000	1.1027900000	1.1025140109	1.1026450000
2015.11.02 01:23:00	1.1025795055	1.1027600000	1.1025795055	1.1026900000
2015.11.02 01:24:00	1.1027400000	1.1025400000	1.1026347527	1.1026275000
2015.11.02 01:25:00	1.1026311264	1.1024000000	1.1026311264	1.1025075000
2015.11.02 01:26:00	1.1025693132	1.1024100000	1.1025693132	1.1024250000
2015.11.02 01:27:00	1.1025200000	1.1022900000	1.1024971566	1.1023775000
2015.11.02 01:28:00	1.1024373283	1.1022000000	1.1024373283	1.1022525000
2015.11.02 01:29:00	1.1023449141	1.1021000000	1.1023449141	1.1021550000
2015.11.02 01:30:00	1.1022499571	1.1021200000	1.1022499571	1.1021625000
2015.11.02 01:31:00	1.1022100000	1.1021600000	1.1022062285	1.1021900000
2015.11.02 01:32:00	1.1022100000	1.1021200000	1.1021981143	1.1021650000
2015.11.02 01:33:00	1.1021815571	1.1020000000	1.1021815571	1.1020600000
2015.11.02 01:34:00	1.1021207786	1.1019700000	1.1021207786	1.1019975000
2015.11.02 01:35:00	1.1020591393	1.1019800000	1.1020591393	1.1020050000
2015.11.02 01:36:00	1.1020320696	1.1019700000	1.1020320696	1.1019850000
2015.11.02 01:37:00	1.1020085348	1.1019600000	1.1020085348	1.1019800000
2015.11.02 01:38:00	1.1019942674	1.1019600000	1.1019942674	1.1019750000
2015.11.02 01:39:00	1.1020000000	1.1019400000	1.1019846337	1.1019775000
2015.11.02 01:40:00	1.1020000000	1.1019400000	1.1019810669	1.1019700000
2015.11.02 01:41:00	1.1019755334	1.1019000000	1.1019755334	1.1019200000
2015.11.02 01:42:00	1.1019477667	1.1019000000	1.1019477667	1.1019000000
2015.11.02 01:43:00	1.1019238834	1.1019000000	1.1019238834	1.1019000000
2015.11.02 01:44:00	1.1019119417	1.1018900000	1.1019119417	1.1018950000
2015.11.02 01:45:00	1.1019034708	1.1019000000	1.1019034708	1.1019000000
2015.11.02 01:46:00	1.1019000000	1.1019400000	1.1019017354	1.1019200000
2015.11.02 01:47:00	1.1019108677	1.1022400000	1.1019108677	1.1020850000
2015.11.02 01:48:00	1.1019979339	1.1022400000	1.1019979339	1.1021600000
2015.11.02 01:49:00	1.1020789669	1.1021900000	1.1020789669	1.1021500000
